"","yr_q","citypair","enter","yr_q.1","citypair.1","pop","distance","totenter"
"1",19972,38,"7",19962,11,0.0935,0.906,1.94591014905531
"2",19972,152,"8",19962,9,0.3611,0.761,2.07944154167984
"3",19972,85,"6",19962,122,1.6063,2.469,2.19722457733622
"4",19972,92,"9",19962,76,0.12121,0.852,1.79175946922805
"5",19972,16,"9",19962,77,0.31202,0.802,1.79175946922805
"6",19972,116,"5",19962,112,0.06726,0.917,0
"7",19972,10,"7",19962,12,0.24068,0.606,1.94591014905531
"8",19972,24,"3",19962,126,0.30904,0.834,1.94591014905531
"9",19972,8,"10",19962,102,0.3693,1.008,1.94591014905531
"10",19972,12,"7",19962,14,0.20496,0.665,1.94591014905531
"11",19972,21,"8",19962,16,0.090616,1.891,2.19722457733622
"12",19972,139,"7",19962,131,0.38797,1.593,2.19722457733622
"13",19972,136,"8",19962,18,0.22461,2.139,2.19722457733622
"14",19972,98,"6",19962,91,0.37744,0.235,1.6094379124341
"15",19972,137,"7",19962,33,0.14699,2.3,2.07944154167984
"16",19972,176,"6",19962,97,0.35224,2.079,2.19722457733622
"17",19972,18,"10",19962,25,0.22922,1.597,1.6094379124341
"18",19972,87,"10",19962,21,0.12297,1.754,2.07944154167984
"19",19972,121,"3",19962,71,0.41472,1.372,1.94591014905531
"20",19972,55,"7",19962,100,2.0675,2.454,2.30258509299405
"21",19972,30,"8",19962,99,0.5623,1.4,1.6094379124341
"22",19972,173,"8",19962,58,0.33974,0.862,1.79175946922805
"23",19972,34,"8",19962,144,0.080547,1.444,2.07944154167984
"24",19972,124,"9",19962,157,0.11362,1.739,1.94591014905531
"25",19972,65,"6",19962,78,0.090066,1.616,1.94591014905531
"26",19972,5,"7",19962,143,0.18083,0.668,1.38629436111989
"27",19972,77,"6",19962,27,0.5814,0.185,1.38629436111989
"28",19972,70,"7",19962,139,0.41271,2.579,1.94591014905531
"29",19972,41,"2",19962,115,0.084051,1.825,1.6094379124341
"30",19972,148,"1",19962,28,0.089513,0.861,1.38629436111989
"31",19972,120,"6",19962,20,0.39115,0.37,1.38629436111989
"32",19972,93,"6",19962,47,0.49689,0.621,2.07944154167984
"33",19972,71,"7",19962,10,0.055595,0.59,1.38629436111989
"34",19972,43,"9",19962,120,0.27174,1.635,1.79175946922805
"35",19972,51,"9",19962,37,0.14043,1.046,1.94591014905531
"36",19972,150,"6",19962,32,0.33,0.28,1.38629436111989
"37",19972,182,"3",19962,40,0.38098,0.408,1.94591014905531
"38",19972,19,"6",19962,34,0.1459,2.588,2.07944154167984
"39",19972,94,"9",19962,56,0.20763,1.605,2.07944154167984
"40",19972,50,"9",19962,51,0.23106,2.335,2.19722457733622
"41",19972,102,"7",19962,146,0.098748,1.733,2.07944154167984
"42",19972,59,"7",19962,152,0.072538,1.276,2.07944154167984
"43",19972,118,"6",19962,80,0.11835,0.868,1.79175946922805
"44",19972,27,"3",19962,42,0.29391,1.235,1.6094379124341
"45",19972,172,"8",19962,44,0.74548,0.185,0
"46",19972,23,"6",19962,92,0.10895,1.953,1.79175946922805
"47",19972,46,"6",19962,63,0.045092,0.992,1.38629436111989
"48",19972,35,"8",19962,67,0.072643,1.024,1.6094379124341
"49",19972,56,"9",19962,60,0.036084,0.895,0.693147180559945
"50",19972,42,"5",19962,39,0.31494,1.217,1.94591014905531
"51",19972,128,"5",19962,140,0.16025,0.887,1.94591014905531
"52",19972,39,"7",19962,52,0.46371,2.457,2.19722457733622
"53",19972,58,"7",19962,53,0.18006,0.737,2.07944154167984
"54",19972,3,"10",19962,137,0.1665,2.44,1.94591014905531
"55",19972,89,"2",19962,72,0.18456,0.224,1.09861228866811
"56",19972,7,"5",19962,129,0.49787,0.954,1.94591014905531
"57",19972,156,"4",19962,169,0.051492,1.708,2.07944154167984
"58",19972,103,"8",19962,184,0.16648,1.736,2.07944154167984
"59",19972,104,"8",19962,88,0.56628,0.501,1.79175946922805
"60",19972,68,"5",19962,148,0.07695,0.251,0.693147180559945
"61",19972,13,"8",19962,165,0.053899,1.009,1.6094379124341
"62",19972,146,"5",19962,116,0.24796,1.324,1.6094379124341
"63",19972,147,"7",19962,170,0.15901,2.075,2.07944154167984
"64",19972,88,"6",19962,69,0.056607,0.77,1.94591014905531
"65",19972,166,"6",19962,50,0.18707,2.295,2.19722457733622
"66",19972,99,"5",19962,48,0.14343,2.358,1.79175946922805
"67",19972,73,"9",19962,180,0.17296,0.447,1.38629436111989
"68",19972,122,"9",19962,162,0.36735,1.846,1.94591014905531
"69",19972,74,"7",19962,163,0.14264,0.258,1.09861228866811
"70",19972,75,"3",19962,177,0.17426,0.651,1.38629436111989
"71",19972,127,"8",19962,138,0.20565,2.412,1.94591014905531
"72",19972,96,"10",19962,36,0.36165,2.704,2.19722457733622
"73",19972,111,"5",19962,81,0.11747,1.171,1.94591014905531
"74",19972,138,"7",19962,183,0.082954,1.71,2.07944154167984
"75",19972,183,"9",19962,149,0.19124,0.334,1.38629436111989
"76",19972,82,"8",19962,155,0.17847,1.589,2.07944154167984
"77",19972,76,"7",19962,109,0.34448,0.872,1.94591014905531
"78",19972,63,"5",19962,90,0.14663,0.528,1.6094379124341
"79",19972,84,"5",19962,13,0.069474,2.172,1.79175946922805
"80",19972,179,"6",19962,6,0.3199,0.745,2.19722457733622
"81",19972,66,"6",19962,65,0.059253,0.602,1.38629436111989
"82",19972,29,"7",19962,153,0.072,1.532,2.07944154167984
"83",19972,91,"5",19962,110,0.63328,1.379,1.79175946922805
"84",19972,14,"6",19962,29,0.15054,1.124,1.94591014905531
"85",19972,49,"9",19962,96,0.17552,1.927,2.07944154167984
"86",19972,9,"7",19962,160,0.1482,1.723,2.07944154167984
"87",19972,160,"8",19962,86,0.22326,1.076,1.6094379124341
"88",19972,170,"8",19962,101,0.21959,0.711,1.38629436111989
"89",19972,180,"5",19962,64,0.13303,1.557,1.94591014905531
"90",19972,106,"9",19962,171,0.15783,2.369,2.07944154167984
"91",19972,83,"9",19962,62,0.15621,0.888,1.6094379124341
"92",19972,101,"4",19962,89,0.087185,0.229,1.09861228866811
"93",19972,52,"9",19962,93,0.32142,0.453,1.79175946922805
"94",19972,144,"6",19962,19,0.087217,0.483,1.79175946922805
"95",19972,6,"8",19962,134,0.44223,0.733,1.94591014905531
"96",19972,33,"8",19962,59,0.23437,1.619,1.94591014905531
